id_grupo;capacidad;codigo_asignatura;id_Modalidad
3;27;19210034;1
3;20;19210036;1
2;3;19210020;1
3;25;19210008;1
1;20;19210097;1
2;25;19210019;1
14;4;19210020;1
21;1;19210018;1
2;30;19210039;2
20;1;19210018;1
1;3;19210018;1
1;25;19210141;1
5;2;19210018;1
1;12;19410051;1
1;10;19210102;1
12;4;19210018;1
4;14;19210054;1
4;25;19210003;1
17;3;19210020;1
1;25;19210094;1
1;27;19210034;1
1;80;19210040;1
3;35;19210044;1
1;22;19210004;1
2;27;19210034;1
1;3;19210020;1
1;33;19210052;1
9;5;19210018;1
2;33;19210029;1
3;25;19210045;1
13;5;19210018;1
2;25;19210052;1
3;30;19210011;1
3;10;19210020;1
24;3;19210018;1
1;18;19210035;1
3;25;19210019;1
2;14;19210054;1
1;24;19210121;1
1;20;19210038;1
2;25;19210006;1
23;4;19210018;1
1;12;19210127;1
2;25;19210063;1
2;25;19210024;1
1;20;19210098;1
2;25;19210042;1
3;22;19210004;1
1;27;19210032;1
2;25;19210026;1
3;18;19210050;1
11;4;19210018;1
2;3;19210018;1
9;2;19210020;1
5;3;19210020;1
2;12;19210096;1
1;25;19210008;1
1;15;19210099;1
1;27;19210122;1
2;27;19210032;1
2;24;19210031;1
2;10;19610056;1
2;24;19210028;1
2;15;19210099;1
1;25;19210037;1
1;35;19210044;1
18;3;19210020;1
1;25;19210045;1
16;5;19210018;1
7;2;19210020;1
6;3;19210020;1
4;22;19210004;1
3;25;19210003;1
1;13;19210139;1
8;2;19210020;1
1;25;19210025;1
2;5;19210040;1
2;30;19210011;1
1;25;19210003;1
1;25;19210063;1
1;25;19210027;1
17;5;19210018;1
2;25;19210033;1
2;25;19210037;1
22;4;19210018;1
10;5;19210018;1
3;2;19210018;1
6;2;19210018;1
2;25;19210012;1
1;20;19210021;1
1;25;19210108;1
1;25;19210019;1
1;12;19210096;1
2;25;19210007;1
3;20;19210021;1
3;27;19210032;1
19;3;19210018;1
4;25;19210008;1
3;25;19210006;1
2;25;19210027;1
2;25;19210138;1
3;18;19210035;1
1;33;19210029;1
4;20;19210021;1
15;4;19210020;1
1;30;19210039;2
1;25;19210024;1
2;5;19210041;1
16;4;19210020;1
1;30;19210011;1
2;20;19210038;1
2;25;19210003;1
1;25;19210033;1
2;22;19210004;1
10;2;19210020;1
3;25;19210012;1
11;4;19210020;1
1;25;19210105;1
2;25;19210008;1
1;25;19210113;1
1;24;19210028;1
2;22;19210030;1
1;25;19210026;1
1;22;19210030;1
1;20;19210101;1
1;14;19210054;1
4;25;19210006;1
2;25;19210143;1
1;18;19210050;1
1;22;19210036;1
2;20;19210036;1
3;25;19210033;1
4;2;19210018;1
1;25;19210138;1
2;10;19210102;1
8;4;19210018;1
1;20;19210100;1
1;24;19210031;1
15;5;19210018;1
1;25;19210143;1
14;5;19210018;1
12;4;19210020;1
2;35;19210044;1
4;10;19210020;1
3;14;19210054;1
3;25;19210024;1
3;20;19210038;1
18;3;19210018;1
1;25;19210012;1
1;25;19210006;1
1;4;19610056;1
4;25;19210024;1
1;25;19210057;1
7;5;19210018;1
13;4;19210020;1
1;70;19210041;1
3;22;19210030;1
2;25;19210025;1
2;20;19210021;1
1;25;19210042;1
1;25;19210095;1
1;25;19210007;1
4;20;19210038;1
1;25;19210073;1
1;13;19210142;1
2;25;19210057;1
2;25;19210045;1
2;18;19210050;1
2;12;19410051;1
2;18;19210035;1
