dia;hora_inicio;hora_fin;grupo;codigo
Miércoles;07:00:00;17:00:00;17;19210020
Martes;07:00:00;17:00:00;2;19210020
Viernes;07:00:00;12:00:00;6;19210018
Jueves;11:00:00;13:00:00;3;19210019
Martes;07:00:00;17:00:00;18;19210018
Miércoles;07:00:00;09:00:00;1;19210038
Martes;07:00:00;12:00:00;8;19210018
Jueves;18:00:00;20:00:00;2;19210041
Jueves;07:00:00;17:00:00;16;19210020
Martes;07:00:00;17:00:00;5;19210018
Miércoles;07:00:00;09:00:00;3;19210034
Lunes;07:00:00;11:30:00;1;19210096
Viernes;07:00:00;11:30:00;2;19210099
Jueves;15:00:00;17:00:00;3;19210044
Jueves;07:00:00;17:00:00;10;19210020
Miércoles;07:00:00;17:00:00;22;19210018
Martes;07:00:00;12:00:00;2;19210018
Jueves;07:00:00;12:00:00;12;19210020
Miércoles;07:00:00;12:00:00;5;19210018
Jueves;07:00:00;09:00:00;1;19210026
Lunes;07:00:00;17:00:00;8;19210020
Miércoles;07:00:00;12:00:00;18;19210018
Martes;07:00:00;17:00:00;1;19210018
Lunes;07:00:00;11:30:00;1;19210099
Jueves;07:00:00;11:30:00;1;19610056
Martes;14:00:00;16:00:00;1;19210039
Miércoles;07:00:00;17:00:00;3;19210020
Martes;07:00:00;17:00:00;21;19210018
Viernes;07:00:00;11:30:00;1;19410051
Miércoles;13:00:00;15:00:00;1;19210008
Jueves;07:00:00;12:00:00;15;19210020
Lunes;13:30:00;15:30:00;1;19210024
Viernes;07:00:00;12:00:00;21;19210018
Jueves;12:30:00;18:00:00;10;19210018
Viernes;07:00:00;12:00:00;3;19210018
Miércoles;07:00:00;17:00:00;6;19210018
Miércoles;13:30:00;15:30:00;2;19210019
Lunes;16:00:00;18:00:00;3;19210024
Miércoles;07:00:00;12:00:00;11;19210020
Miércoles;07:00:00;17:00:00;4;19210020
Jueves;07:00:00;12:00:00;17;19210020
Miércoles;07:00:00;12:00:00;11;19210018
Viernes;07:00:00;12:00:00;13;19210018
Martes;15:00:00;17:00:00;2;19210037
Miércoles;07:00:00;17:00:00;7;19210018
Lunes;07:00:00;17:00:00;7;19210018
Martes;07:00:00;12:00:00;6;19210020
Jueves;07:00:00;17:00:00;1;19210020
Lunes;07:00:00;17:00:00;6;19210018
Miércoles;07:00:00;12:00:00;3;19210020
Viernes;07:00:00;12:00:00;9;19210020
Lunes;07:00:00;12:00:00;5;19210020
Jueves;07:00:00;12:00:00;11;19210020
Lunes;07:00:00;11:30:00;1;19210102
Martes;07:00:00;17:00:00;10;19210018
Miércoles;21:00:00;22:00:00;1;19210139
Jueves;07:00:00;17:00:00;2;19210020
Martes;07:00:00;17:00:00;4;19210020
Martes;07:00:00;11:30:00;1;19210052
Lunes;07:00:00;11:30:00;2;19210099
Martes;07:00:00;17:00:00;12;19210020
Miércoles;07:00:00;17:00:00;6;19210020
Martes;07:00:00;12:00:00;21;19210018
Jueves;07:00:00;12:00:00;7;19210020
Martes;07:00:00;12:00:00;18;19210018
Lunes;07:00:00;12:00:00;15;19210018
Jueves;07:00:00;17:00:00;19;19210018
Viernes;07:00:00;12:00:00;9;19210018
Miércoles;07:00:00;12:00:00;1;19210018
Jueves;07:00:00;17:00:00;16;19210018
Jueves;07:00:00;12:00:00;19;19210018
Jueves;07:00:00;12:00:00;5;19210018
Miércoles;07:00:00;11:30:00;1;19210052
Miércoles;12:30:00;18:00:00;4;19210018
Jueves;07:00:00;17:00:00;15;19210020
Jueves;15:30:00;17:30:00;3;19210045
Lunes;07:00:00;17:00:00;13;19210018
Martes;07:00:00;17:00:00;3;19210018
Jueves;07:00:00;11:30:00;2;19210052
Jueves;07:00:00;17:00:00;6;19210018
Martes;07:00:00;17:00:00;13;19210020
Jueves;07:00:00;17:00:00;17;19210018
Jueves;07:00:00;17:00:00;9;19210018
Jueves;14:00:00;17:00:00;2;19210030
Viernes;13:30:00;17:30:00;3;19210036
Viernes;07:00:00;11:30:00;2;19210052
Lunes;07:00:00;12:00:00;2;19210018
Martes;07:00:00;12:00:00;15;19210020
Martes;16:00:00;18:00:00;1;19210057
Jueves;07:00:00;12:00:00;18;19210020
Viernes;07:00:00;12:00:00;7;19210018
Viernes;12:30:00;18:30:00;12;19210018
Lunes;07:00:00;17:00:00;6;19210020
Miércoles;16:00:00;18:00:00;1;19210138
Martes;07:00:00;11:30:00;1;19610056
Viernes;07:00:00;12:00:00;3;19210020
Miércoles;07:00:00;12:00:00;22;19210018
Lunes;07:00:00;09:00:00;3;19210054
Lunes;07:00:00;17:00:00;21;19210018
Martes;07:00:00;12:00:00;15;19210018
Miércoles;07:00:00;17:00:00;14;19210018
Lunes;07:00:00;09:00:00;2;19210021
Viernes;12:30:00;18:30:00;1;19210020
Viernes;07:00:00;12:00:00;14;19210020
Miércoles;07:00:00;17:00:00;12;19210018
Martes;17:00:00;19:00:00;1;19210143
Jueves;07:00:00;11:30:00;1;19210052
Viernes;07:00:00;12:00:00;11;19210018
Lunes;07:00:00;17:00:00;22;19210018
Martes;07:00:00;12:00:00;19;19210018
Jueves;07:00:00;17:00:00;24;19210018
Martes;07:00:00;11:30:00;2;19210102
Jueves;07:00:00;11:30:00;2;19410051
Lunes;07:00:00;17:00:00;16;19210018
Miércoles;07:00:00;11:30:00;2;19610056
Martes;10:30:00;12:00:00;2;19210007
Jueves;07:00:00;17:00:00;9;19210020
Martes;07:00:00;12:00:00;9;19210020
Lunes;16:00:00;18:00:00;2;19210063
Lunes;13:00:00;15:00:00;2;19210031
Miércoles;12:30:00;18:00:00;3;19210018
Martes;07:00:00;12:00:00;8;19210020
Lunes;07:00:00;17:00:00;3;19210020
Miércoles;07:00:00;17:00:00;5;19210020
Viernes;07:00:00;12:00:00;23;19210018
Lunes;07:00:00;11:30:00;2;19210052
Martes;07:00:00;17:00:00;10;19210020
Miércoles;07:00:00;12:00:00;8;19210020
Miércoles;07:00:00;17:00:00;21;19210018
Jueves;07:00:00;17:00:00;4;19210018
Lunes;07:00:00;12:00:00;24;19210018
Lunes;07:00:00;12:00:00;1;19210042
Miércoles;07:00:00;12:00:00;9;19210020
Viernes;07:00:00;12:00:00;14;19210018
Viernes;07:00:00;11:30:00;2;19210102
Miércoles;07:00:00;17:00:00;11;19210018
Lunes;07:00:00;17:00:00;12;19210020
Martes;07:00:00;17:00:00;4;19210018
Viernes;07:00:00;12:00:00;18;19210018
Lunes;16:00:00;18:00:00;1;19210097
Jueves;07:00:00;12:00:00;23;19210018
Martes;07:00:00;11:30:00;2;19410051
Martes;07:00:00;11:30:00;3;19210054
Miércoles;12:30:00;18:00:00;2;19210020
Lunes;07:00:00;12:00:00;14;19210018
Martes;07:00:00;12:00:00;13;19210020
Jueves;07:00:00;17:00:00;17;19210020
Lunes;07:00:00;17:00:00;24;19210018
Viernes;12:30:00;18:30:00;9;19210018
Jueves;07:00:00;17:00:00;15;19210018
Lunes;07:00:00;11:30:00;1;19210052
Jueves;12:30:00;18:00:00;17;19210018
Lunes;07:00:00;12:00:00;14;19210020
Martes;07:00:00;12:00:00;1;19210018
Martes;07:00:00;12:00:00;17;19210020
Miércoles;07:00:00;17:00:00;5;19210018
Miércoles;07:00:00;12:00:00;14;19210018
Miércoles;09:00:00;11:00:00;3;19210038
Lunes;07:00:00;17:00:00;3;19210018
Lunes;13:30:00;15:30:00;1;19210098
Miércoles;07:00:00;11:30:00;2;19210052
Lunes;07:00:00;17:00:00;11;19210018
Viernes;07:00:00;12:00:00;6;19210020
Viernes;07:00:00;12:00:00;5;19210018
Viernes;07:00:00;12:00:00;2;19210018
Viernes;07:00:00;11:30:00;2;19210054
Jueves;07:00:00;12:00:00;9;19210020
Miércoles;12:30:00;18:00:00;17;19210018
Martes;12:30:00;18:00:00;4;19210018
Lunes;10:00:00;12:00:00;2;19210033
Jueves;13:30:00;15:30:00;3;19210033
Viernes;07:00:00;12:00:00;1;19210020
Jueves;07:00:00;11:30:00;3;19210054
Lunes;07:00:00;11:30:00;2;19610056
Miércoles;07:00:00;11:30:00;2;19210102
Martes;07:00:00;09:00:00;1;19210032
Lunes;07:00:00;17:00:00;16;19210020
Lunes;07:00:00;17:00:00;7;19210020
Jueves;07:00:00;17:00:00;21;19210018
Martes;07:00:00;12:00:00;5;19210020
Lunes;15:30:00;17:30:00;3;19210021
Viernes;07:00:00;12:00:00;7;19210020
Jueves;07:00:00;17:00:00;3;19210018
Jueves;07:00:00;17:00:00;14;19210020
Sábado;10:00:00;13:00:00;2;19210050
Jueves;09:00:00;11:00:00;3;19210038
Viernes;07:00:00;11:30:00;1;19210102
Martes;07:00:00;12:00:00;22;19210018
Martes;16:00:00;18:00:00;4;19210004
Viernes;13:30:00;15:30:00;1;19210037
Martes;10:00:00;13:00:00;2;19210028
Jueves;07:00:00;17:00:00;8;19210020
Jueves;07:00:00;12:00:00;13;19210020
Miércoles;07:00:00;17:00:00;10;19210020
Jueves;07:00:00;11:30:00;1;19210054
Lunes;07:00:00;12:00:00;12;19210020
Lunes;09:00:00;11:00:00;4;19210021
Miércoles;07:00:00;17:00:00;16;19210020
Miércoles;07:00:00;10:00:00;3;19210035
Miércoles;12:30:00;18:00:00;9;19210018
Viernes;07:00:00;12:00:00;4;19210020
Jueves;07:00:00;17:00:00;18;19210018
Viernes;07:00:00;11:30:00;1;19210052
Miércoles;07:00:00;12:00:00;23;19210018
Lunes;07:00:00;17:00:00;12;19210018
Miércoles;07:00:00;11:30:00;1;19610056
Miércoles;07:00:00;12:00:00;7;19210018
Martes;07:00:00;11:30:00;1;19210102
Jueves;07:00:00;17:00:00;20;19210018
Martes;07:00:00;12:00:00;1;19210042
Viernes;07:00:00;12:00:00;12;19210020
Jueves;07:00:00;17:00:00;13;19210020
Viernes;07:00:00;12:00:00;8;19210018
Lunes;07:00:00;17:00:00;10;19210020
Lunes;07:00:00;17:00:00;5;19210018
Martes;12:30:00;18:00:00;2;19210020
Martes;13:30:00;15:30:00;1;19210025
Martes;07:00:00;08:30:00;1;19210012
Lunes;07:00:00;12:00:00;11;19210018
Miércoles;13:30:00;15:00:00;1;19210011
Martes;12:30:00;18:00:00;9;19210018
Viernes;07:00:00;12:00:00;15;19210018
Jueves;07:00:00;17:00:00;12;19210018
Martes;07:00:00;17:00:00;12;19210018
Miércoles;07:00:00;12:00:00;12;19210020
Lunes;07:00:00;17:00:00;15;19210018
Miércoles;07:00:00;12:00:00;17;19210020
Martes;09:00:00;11:00:00;2;19210032
Miércoles;07:00:00;11:30:00;1;19210099
Martes;07:00:00;12:00:00;4;19210020
Martes;07:00:00;11:30:00;1;19210096
Miércoles;07:00:00;17:00:00;9;19210020
Jueves;07:00:00;12:00:00;21;19210018
Lunes;13:30:00;15:30:00;1;19210031
Viernes;07:00:00;11:30:00;2;19410051
Viernes;14:00:00;16:00:00;1;19210029
Sábado;10:00:00;12:00:00;1;19210073
Jueves;13:00:00;19:00:00;1;19210139
Martes;12:30:00;18:00:00;17;19210018
Martes;07:00:00;17:00:00;17;19210020
Miércoles;07:00:00;17:00:00;15;19210018
Lunes;07:00:00;17:00:00;4;19210020
Lunes;07:00:00;12:00:00;9;19210020
Viernes;10:00:00;12:00:00;1;19210034
Miércoles;07:00:00;17:00:00;18;19210018
Martes;07:00:00;12:00:00;12;19210020
Miércoles;07:00:00;12:00:00;8;19210018
Viernes;18:00:00;20:00:00;1;19210040
Jueves;07:00:00;17:00:00;3;19210020
Viernes;07:00:00;12:00:00;2;19210020
Miércoles;07:00:00;11:30:00;2;19210096
Lunes;07:00:00;12:00:00;6;19210018
Viernes;12:30:00;18:30:00;10;19210018
Lunes;10:30:00;12:00:00;1;19210011
Martes;07:00:00;12:00:00;5;19210018
Lunes;07:00:00;12:00:00;17;19210020
Lunes;07:00:00;12:00:00;8;19210020
Martes;07:00:00;17:00:00;20;19210018
Miércoles;07:00:00;17:00:00;18;19210020
Jueves;07:00:00;17:00:00;6;19210020
Miércoles;12:30:00;18:00:00;1;19210020
Miércoles;17:30:00;20:00:00;1;19210122
Viernes;07:00:00;12:00:00;22;19210018
Martes;12:30:00;18:00:00;16;19210018
Martes;12:30:00;18:00:00;12;19210018
Miércoles;07:00:00;11:30:00;1;19210102
Miércoles;07:00:00;09:00:00;3;19210006
Miércoles;07:00:00;17:00:00;17;19210018
Miércoles;07:00:00;12:00:00;10;19210020
Jueves;12:30:00;18:00:00;1;19210020
Viernes;12:30:00;18:30:00;3;19210018
Miércoles;07:00:00;12:00:00;18;19210020
Martes;07:00:00;12:00:00;10;19210020
Lunes;07:00:00;17:00:00;9;19210020
Jueves;07:00:00;12:00:00;6;19210020
Martes;07:00:00;17:00:00;15;19210020
Martes;07:00:00;11:30:00;1;19210054
Jueves;07:00:00;12:00:00;2;19210018
Viernes;13:30:00;17:30:00;1;19210036
Miércoles;07:00:00;17:00:00;8;19210020
Martes;07:00:00;12:00:00;23;19210018
Miércoles;07:00:00;12:00:00;20;19210018
Martes;09:00:00;10:30:00;2;19210012
Miércoles;07:00:00;17:00:00;2;19210018
Martes;07:00:00;17:00:00;7;19210020
Lunes;07:00:00;17:00:00;2;19210020
Lunes;07:00:00;12:00:00;11;19210020
Miércoles;07:00:00;12:00:00;14;19210020
Jueves;07:00:00;17:00:00;7;19210020
Lunes;07:00:00;17:00:00;17;19210018
Jueves;13:30:00;15:30:00;4;19210003
Lunes;07:00:00;12:00:00;13;19210018
Jueves;07:00:00;12:00:00;5;19210020
Miércoles;07:00:00;17:00:00;2;19210020
Miércoles;07:00:00;12:00:00;21;19210018
Viernes;07:00:00;12:00:00;17;19210020
Martes;07:00:00;17:00:00;24;19210018
Martes;07:00:00;17:00:00;1;19210020
Viernes;07:00:00;12:00:00;15;19210020
Miércoles;07:00:00;17:00:00;9;19210018
Lunes;13:30:00;15:30:00;1;19210021
Jueves;12:30:00;18:00:00;4;19210018
Viernes;11:00:00;13:00:00;2;19210045
Jueves;07:00:00;17:00:00;5;19210020
Jueves;07:00:00;17:00:00;11;19210018
Viernes;07:00:00;12:00:00;13;19210020
Viernes;07:00:00;12:00:00;11;19210020
Lunes;09:00:00;11:00:00;4;19210024
Jueves;07:00:00;12:00:00;24;19210018
Miércoles;14:00:00;17:00:00;3;19210030
Martes;07:00:00;12:00:00;16;19210020
Lunes;07:00:00;09:00:00;2;19210054
Miércoles;12:30:00;18:00:00;16;19210018
Viernes;07:00:00;11:30:00;1;19210096
Sábado;12:00:00;14:00:00;2;19210057
Viernes;12:30:00;18:30:00;2;19210020
Lunes;07:00:00;17:00:00;11;19210020
Jueves;13:30:00;15:30:00;1;19210033
Miércoles;07:00:00;12:00:00;13;19210018
Miércoles;07:00:00;12:00:00;24;19210018
Lunes;07:00:00;12:00:00;16;19210020
Jueves;11:00:00;12:30:00;2;19210012
Lunes;07:00:00;17:00:00;19;19210018
Miércoles;07:00:00;12:00:00;13;19210020
Martes;07:00:00;17:00:00;8;19210020
Jueves;15:00:00;17:00:00;1;19210105
