dia;hora_inicio;hora_fin
Miércoles;15:00:00;17:00:00
Miércoles;07:00:00;17:00:00
Viernes;07:00:00;10:00:00
Martes;09:00:00;10:30:00
Jueves;11:00:00;12:30:00
Martes;10:00:00;13:00:00
Miércoles;13:30:00;15:00:00
Miércoles;18:00:00;20:00:00
Martes;07:00:00;09:00:00
Sábado;08:00:00;11:00:00
Lunes;10:30:00;12:00:00
Lunes;16:00:00;18:00:00
Viernes;13:00:00;19:00:00
Martes;07:00:00;08:30:00
Jueves;15:30:00;17:30:00
Miércoles;09:00:00;11:00:00
Miércoles;13:30:00;15:30:00
Miércoles;12:30:00;18:00:00
Martes;07:00:00;12:00:00
Sábado;12:00:00;14:00:00
Miércoles;09:00:00;10:30:00
Lunes;07:00:00;12:00:00
Viernes;07:00:00;11:30:00
Martes;14:00:00;17:00:00
Jueves;07:00:00;12:00:00
Martes;10:30:00;12:00:00
Viernes;14:30:00;16:30:00
Martes;07:00:00;17:00:00
Martes;13:30:00;16:30:00
Viernes;07:00:00;09:00:00
Lunes;09:00:00;10:30:00
Viernes;10:00:00;12:00:00
Lunes;13:30:00;15:30:00
Jueves;07:00:00;17:00:00
Miércoles;17:30:00;20:00:00
Lunes;07:00:00;11:30:00
Miércoles;13:00:00;15:00:00
Viernes;07:00:00;12:00:00
Lunes;13:00:00;15:00:00
Jueves;12:30:00;18:00:00
Sábado;07:00:00;13:00:00
Viernes;13:30:00;15:30:00
Lunes;10:00:00;12:00:00
Miércoles;14:00:00;16:00:00
Jueves;14:00:00;17:00:00
Martes;14:00:00;16:00:00
Jueves;15:00:00;17:00:00
Jueves;09:00:00;10:30:00
Martes;12:30:00;18:00:00
Viernes;11:00:00;13:00:00
Martes;13:30:00;15:00:00
Miércoles;11:00:00;13:00:00
Sábado;10:00:00;13:00:00
Miércoles;07:00:00;11:30:00
Martes;07:00:00;11:30:00
Jueves;18:00:00;20:00:00
Viernes;13:00:00;15:00:00
Martes;16:00:00;18:00:00
Viernes;13:30:00;17:30:00
Martes;17:00:00;19:00:00
Miércoles;16:00:00;18:00:00
Martes;07:00:00;10:00:00
Sábado;07:00:00;10:00:00
Lunes;09:00:00;13:00:00
Miércoles;07:00:00;10:00:00
Miércoles;14:00:00;17:00:00
Martes;15:00:00;17:00:00
Lunes;07:00:00;09:00:00
Miércoles;07:00:00;09:00:00
Jueves;09:00:00;11:00:00
Lunes;15:30:00;17:30:00
Viernes;12:30:00;14:30:00
Martes;09:00:00;11:00:00
Lunes;09:00:00;11:00:00
Sábado;10:00:00;12:00:00
Miércoles;07:00:00;12:00:00
Jueves;13:00:00;19:00:00
Lunes;07:00:00;17:00:00
Jueves;11:00:00;13:00:00
Viernes;12:30:00;18:30:00
Miércoles;13:30:00;16:30:00
Martes;13:30:00;15:30:00
Viernes;14:00:00;16:00:00
Jueves;07:00:00;11:30:00
Jueves;07:00:00;08:30:00
Jueves;13:30:00;15:30:00
Miércoles;21:00:00;22:00:00
Viernes;07:00:00;08:30:00
Viernes;18:00:00;20:00:00
Jueves;07:00:00;09:00:00
